address,alias,type,malicious,continue
0x6d72ff6373c86f3b3cca09ff18068d3c8f2b62b6,DeFi,Smart Contract,False,False
0x5e8f91ceb8a4b361cd4f2ec14278e63ea0c3ba3f,DeFi Saver: Automation Bot 1,Wallet,False,False
0xe8bfddae8f041e34b7688057cb761e7d08513fd6,DeFi Saver: Automation Bot 2,Wallet,False,False
0xaed662abcc4fa3314985e67ea993cad064a7f5cf,DeFi Saver: Automation Bot 3,Wallet,False,False
0xa5d330f6619d6bf892a5b87d80272e1607b3e34d,DeFi Saver: Automation Bot 4,Wallet,False,False
0x64c5cc449bd253d7fd57751c9080accd0216126d,DeFi Saver: Exchange,Smart Contract,False,False
0x93efcf86b6a7a33ae961a7ec6c741f49bce11da7,DeFi Saver: MCD Monitor Proxy v1,Smart Contract,False,False
0x47d9f61badec4378842d809077a5e87b9c996898,DeFi Saver: MCD Monitor Proxy v2,Smart Contract,False,False
0x83152caa0d344a2fd428769529e2d490a88f4393,DeFi Saver: MCD Subscriptions v1,Smart Contract,False,False
0xc45d4f6b6bf41b6edaa58b01c4298b8d9078269a,DeFi Saver: MCD Subscriptions v2,Smart Contract,False,False
0x0528a32fda5bedf89ba9ad67296db83c9452f28c,DeFi Saver: Owner,Wallet,False,False
0x322d58b9e75a6918f7e7849aee0ff09369977e08,DeFi Saver: Wallet,Wallet,False,False
0xbe286431454714f511008713973d3b053a2d38f3,DSPause,Smart Contract,False,False
0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,DSPauseProxy,Smart Contract,False,False
0x5ef30b9986345249bc32d8928b7ee64de9435e39,DssCdpManager,Smart Contract,False,False
0xbaa65281c2fa2baacb2cb550ba051525a480d3f4,DssDeploy,Smart Contract,False,False
0x6bda13d43b7edd6cafe1f70fb98b5d40f61a1370,DssDeployPauseProxyActions,Smart Contract,False,False
0x82ecd135dce65fbc6dbdd0e4237e0af93ffd5038,DssProxyActions,Smart Contract,False,False
0x07ee93aeea0a36fff2a9b95dd22bd6049ee54f26,DssProxyActionsDsr,Smart Contract,False,False
0x069b2fb501b6f16d1f5fe245b16f6993808f1008,DssProxyActionsEnd,Smart Contract,False,False
0x54003dbf6ae6cba6ddae571ccdc34d834b44ab1e,DSValue,Smart Contract,False,False
0x8a6629feba4196e0a61b8e8c94d4905e525bc055,dYdX: Admin Impl,Smart Contract,False,False
0x57b98aa8a8b69c6295195d153fe6edd0b0d176ac,dYdX: Auction Proxy,Smart Contract,False,False
0xfbc08a66f8bac391f21472d9625c1092ff41cc04,dYdX: Bucket Lender Factory,Smart Contract,False,False
0x787f552bdc17332c98aa360748884513e3cb401a,dYdX: Dai Price Oracle,Smart Contract,False,False
0xa2f79147143e9100e1dd65df277ac54825197148,dYdX: Deployer,Smart Contract,False,False
0x686f7d0b698b6780a8ce1d6ae13bb8c813552ff3,dYdX: Dutch Auction Closer,Smart Contract,False,False
0x2657eca107d7c2abcf72c7a97c8eeef863c22507,dYdX: Erc20 Long Factory,Smart Contract,False,False
0xd5e3e6f3f5de6c778bcd31e175e7b4a543b9d89d,dYdX: ERC20 Long Factory 2,Smart Contract,False,False
0x5be497a12e92b8deb68da9d0ed9943f8dc3067ca,dYdX: ERC20 Position Withdrawer,Smart Contract,False,False
0xf57263953d4d02707cc26b64b920820cd310a01d,dYdX: ERC20 Position Withdrawer V2,Smart Contract,False,False
0xc72786ad71b5ef5326299409d5fe6912c05635ab,dYdX: Erc20 Short Factory,Smart Contract,False,False
